Announce,Unit,Cause,Category,Date,Start,End,Coord,Area,Central,Height,Phone
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-14,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-20,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-22,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-01,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-07,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-14,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-16,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-20,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-22,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-28,",090000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-26,",140000,180000,WGS84,"〔118.4639,24.425〕,
〔118.4750,24.4139〕,
〔118.4528,24.4111〕,
〔118.4506,24.4156〕,
〔118.4556,25.42〕","〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-13,",053000,073000,WGS84,"〔118.2667,24.4253〕,
〔118.3306,24.3639〕,
〔118.2222,24.3333〕,
〔118.2111,24.4139〕,
〔118.2197,24.4167〕","〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-14,",053000,073000,WGS84,"〔118.2667,24.4253〕,
〔118.3306,24.3639〕,
〔118.2222,24.3333〕,
〔118.2111,24.4139〕,
〔118.2197,24.4167〕","〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-27,",053000,073000,WGS84,"〔118.2667,24.4253〕,
〔118.3306,24.3639〕,
〔118.2222,24.3333〕,
〔118.2111,24.4139〕,
〔118.2197,24.4167〕","〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-28,",053000,073000,WGS84,"〔118.2667,24.4253〕,
〔118.3306,24.3639〕,
〔118.2222,24.3333〕,
〔118.2111,24.4139〕,
〔118.2197,24.4167〕","〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-20,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-21,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-22,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-23,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-24, (預備日) ",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-27,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-28,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-29, (預備日)",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-04,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-05,",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-06, (預備日)",050000,080000,WGS84,"〔119.5648,25.5927〕,
〔119.5837,25.5927〕,
〔119.5837,25.5750〕,
〔119.5648,25.5750〕","〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,2021-05-19,160000,210000,WGS84,"〔119.522090,26.085790〕,
〔119.554100,26.085790〕,
〔119.554100,26.055822〕,
〔119.522090,26.055822〕,","〔119.550610,26.081330〕","3,000呎",(0836)26697
五德火砲射擊訓練場實彈射擊,陸軍司令部   澎防部,實彈射擊,射擊通報,"
2021-04-21,",050000,070000,WGS84,"[119.56833, 23.510833],
[119.58639,  23.510000],
[119.57417, 23.464167],
[119.55944,  23.466111],
[119.56833,  23.510833]","[119.57528 ,23.493056]","5,000呎",(06)9260157
五德火砲射擊訓練場實彈射擊,陸軍司令部   澎防部,實彈射擊,射擊通報,"2021-04-22,",050000,070000,WGS84,"[119.56833, 23.510833],
[119.58639,  23.510000],
[119.57417, 23.464167],
[119.55944,  23.466111],
[119.56833,  23.510833]","[119.57528 ,23.493056]","5,000呎",(06)9260157
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-18,",190000,210000,WGS84,"A：[26.455556, 120.43639 ], 
B：[26.448333, 120.52361 ], 
C：[26.353333, 120.57250 ], 
D：[26.290833, 120.48306 ], 
E：[26.363611, 120.40389 ], 
F：[26.620833, 120.16750 ], 
G：[26.657222, 120.16694 ], 
H：[26.655000, 120.09639 ], 
I：[26.618333, 120.09722 ], ","[26.39333, 120.48361]","6,000呎",(0836)77176
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-19,",190000,210000,WGS84,"A：[26.455556, 120.43639 ], 
B：[26.448333, 120.52361 ], 
C：[26.353333, 120.57250 ], 
D：[26.290833, 120.48306 ], 
E：[26.363611, 120.40389 ], 
F：[26.620833, 120.16750 ], 
G：[26.657222, 120.16694 ], 
H：[26.655000, 120.09639 ], 
I：[26.618333, 120.09722 ], ","[26.39333, 120.48361]","6,000呎",(0836)77176
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-20,",190000,210000,WGS84,"A：[26.455556, 120.43639 ], 
B：[26.448333, 120.52361 ], 
C：[26.353333, 120.57250 ], 
D：[26.290833, 120.48306 ], 
E：[26.363611, 120.40389 ], 
F：[26.620833, 120.16750 ], 
G：[26.657222, 120.16694 ], 
H：[26.655000, 120.09639 ], 
I：[26.618333, 120.09722 ], ","[26.39333, 120.48361]","6,000呎",(0836)77176
